pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,868.5466127916853
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,877.9257448134026
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,882.3641601948201
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,882.3641601948201
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,877.5694475683174
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,877.4214894223027
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,877.4214894223027
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,868.5466127916853
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,877.9257448134026
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,882.3641601948201
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,882.3641601948201
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,877.5694475683174
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,877.4214894223027
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,877.4214894223027
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,868.5466127916853
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,877.9257448134026
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,882.3641601948201
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,882.3641601948201
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,877.5694475683174
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,877.4214894223027
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,877.4214894223027
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,868.5466127916853
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,877.9257448134026
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,882.3641601948201
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,882.3641601948201
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,877.5694475683174
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,877.4214894223027
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,877.4214894223027
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,868.5466127916853
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,877.9257448134026
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,882.3641601948201
